Code	Course Title
BUSI0081A/BUSI1802	Advanced Business Communication Skills
ACCT4104E/BUSI0003C,D,E	Advanced financial accounting
BUSI0003A	Advanced Financial Accounting
BUSI0003B	Advanced Financial Accounting
BUSI0085A	Advanced Topics in Taxation
BUSI0004A,B/MKTG3511	Advertising Management
STRA3709A	Applications of Strategic Thinking in Business
IIMT3623A	Architectural design studio I
IIMT3624B	Architectural design studio II
BUSI0088A/IIMT3688	Artificial intelligence for business app. / A.I. in business
ACCT3109F/BUSI0006E-J	Auditing
BUSI0006A-D	Auditing
STRA4703A	Business in latin america
BUSI1001E,F/BUSI3801	Business law
BUSI1001A-D/BUSI3801	Business Law
BUSI0009I,J	Business policy
BUSI0009F,G,H	Business policy
BUSI0009D,E	Business Policy
BUSI0009A-C/STRA4701A	Business Policy
STRA3706A,B	China Business Environment
BUSI0010E,F,G/BUSI3803	Company law
BUSI0010B-D/BUSI3803	Company Law
BUSI0010A/BUSI3803	Company Law
BUSI0050A,B/MKTG3501	Consumer Behaviour
ACCT3111/BUSI3011A	Corporate governance and social responsibility
BUSI0095A,B/IIMT3621	Creativity and Business Innovations
MGMT3404A	Cross-cultural management
BUSI0075A,B/MGMT3475A,B	Current topics in human resource mgt
BUSI0073A/IIMT3604	Data Com. and Networking mgt / Telecommunications mgt
BUSI0052A/IIMT3601	Database development and mgt / Database Mgt
BUSI3512A/MKTG3512	Developing mkg competence through branding/Brand mgt
BUSI3001A/BUSI3808A	Global analysis team project	
STRA4702A	Global corporate strategy
BUSI0018C-E/ACCT3107	Hong Kong Taxation	
BUSI0018A,B/ACCT3107	Hong Kong Taxation	
BUSI0029A/MGMT3429	HRM and business strategy / Strategic HRM	
BUSI0034B/MGMT3434	Human Resource: Theory and Practice	
BUSI0034A/MGMT3434	Human Resource: Theory and Practice	
BUSI0059A/IIMT3602	Information systems analysis and design	
IIMT3690A	Information systems practicum
BUSI0061A/IIMT4601	Information systems project management	
BUSI0020C-H/ACCT3103	Intermediate accounting II /Intermediate Financial Acctg II	
BUSI0019G,H,I/ACCT2102	Intermediate acctg I / Intermediate financial acctg I	
BUSI0019A-F/ACCT2102	Intermediate acctg I / Intermediate Financial Acctg I	
BUSI0020A,B/ACCT3103	Intermediate Acctg II/Intermediate Financial acctg II	
BUSI0044A,B/STRA3702	International Business	
BUSI1805A	International field trip
BUSI0022A,B/MKTG3523	International marketing /Global marketing	
BUSI1807A	Internship - Business consulting practicum (BCP)
BUSI1002V/ACCT1101V	Introduction to financial accounting	
ACCT1101S-U	Introduction to financial accounting
ACCT1101Q,R	Introduction to financial accounting
ACCT1101M,N	Introduction to financial accounting
ACCT1101J-L	Introduction to financial accounting
ACCT1101G-I	Introduction to financial accounting
ACCT1101E,F	Introduction to financial accounting
ACCT1101D	Introduction to financial accounting
ACCT1101A-C	Introduction to financial accounting
BUSI1002O/ACCT1101O,P	Introduction to financial accounting (online)	
BUSI1004L/MKTG2501L	Introduction to Marketing	
MKTG2501F	Introduction to Marketing
MKTG2501E	Introduction to Marketing
MKTG2501D	Introduction to Marketing
MKTG2501C	Introduction to Marketing
